customer_id,phone
001,3001234567
002,300-123-4567
003,300 123 4567
004,+57 300 123 4567
005,+573001234567
006,573001234567
007,6013254585
008,6023254585
009,6043254585
010,6053254585
011,6063254585
012,6073254585
013,6083254585
014,(604) 325-4585
015,+57 604 325 4585
016,8999655
017,3217856
018,222222
019,telefono
020,311.256.32.63
021,311+359+45+66
022,3333333333
023,3111111111
024,3000000000
025,
026,300 526 36 54
027,605 568 65 25
028,+57 300 526 36 54
029,+57 605 568 65 25
030,3005263654
031,6055686525
032,(300) 526-3654
033,(605) 568-6525
